Filtered Values
4200043.0
4200113.0
4100674.0
3999108.0
4000196.0
4200684.0
4100821.0
4142419.0
3995972.0
4200645.0
4200098.0
4200273.0
4108623.0
4109957.0
4199980.0
3899992.0
4200000.0
3971414.0
4200167.0
4200246.0
4054789.0
4100103.0
4200072.0
4203064.0
4202267.0
3953620.0
4099997.0
4100063.0
3803051.0
4025553.0
4067860.0
4100253.0
4000553.0
4201253.0
3948983.0
4102521.0
4197825.0
4198142.0
4204094.0
4200014.0
4200361.0
4200222.0
4200193.0
4199991.0
4201294.0
4199848.0
4000203.0
4200353.0
4154718.0
4200000.0
4201477.0
4200340.0
4199864.0
4099698.0
3899999.0
4201466.0
4100114.0
4199306.0
3900116.0
4205887.0
4200309.0
4203853.0
4000252.0
4099693.0
3863116.0
4099972.0
3900810.0
4200000.0
4203105.0
4200002.0
4200749.0
4200006.0
4199861.0
4200187.0
4099854.0
